Id,Age,Height,Eye_Color,Hair_Color,Gender,Plate_Number,Car_Make,Car_Model
103138,37,65,"brown","Blonde","Male","T6TV0T","Ford","Focus"
103260,22,59,"brown","Blonde","Female","G67F83","Ford","E250"
108374,18,63,"brown","Red","Male","X2KE6N","Ford","Escape"
109238,35,76,"brown","Brown","Female","O771Z2","Ford","F150"
109596,30,75,"brown","Red","Female","861GR4","Ford","Thunderbird"
112137,24,62,"brown","Red","Female","42RZ0E","Ford","Escape"
114786,89,71,"brown","Blonde","Female","W8P22N","Ford","Crown Victoria"
116072,81,54,"brown","White","Male","2P17G6","Ford","F250"
121261,27,62,"brown","White","Male","CODP5B","Ford","F-350 Super Duty"
122522,23,70,"brown","Grey","Female","522XMO","Ford","Explorer"
125080,33,68,"brown","Blue","Female","J0465P","Ford","Escape"
144866,65,56,"brown","White","Male","18P0K6","Ford","Mustang"
154072,47,68,"brown","Black","Male","B65F86","Ford","Expedition EL"
158457,35,75,"brown","Blonde","Female","K34TU4","Ford","F450"
160781,31,74,"brown","Black","Male","YWYM1C","Ford","Excursion"
170767,62,55,"brown","White","Female","6K5PP2","Ford","Windstar"
172160,81,65,"brown","Brown","Male","RA83IF","Ford","Escort"
197377,66,67,"brown","Red","Male","I1LR7Y","Ford","E350"
197612,56,79,"brown","White","Female","8R83FS","Ford","Taurus"
200042,69,73,"brown","Green","Female","74D1DQ","Ford","Crown Victoria"
201158,89,76,"brown","Black","Male","4GZM4R","Ford","Econoline E250"
203168,77,68,"brown","Grey","Female","408231","Ford","E250"
203342,78,72,"brown","Blue","Female","8JN4K7","Ford","E-Series"
204245,50,80,"brown","Grey","Female","1HIRXJ","Ford","Thunderbird"
208872,28,71,"brown","Green","Female","7DRU55","Ford","Mustang"
211066,36,75,"brown","Grey","Male","0MKMSO","Ford","E-Series"
212127,28,81,"brown","Black","Female","2NZ3PD","Ford","Fusion"
212199,75,68,"brown","Brown","Male","O86QQF","Ford","F250"
224833,63,76,"brown","Green","Male","O337S6","Ford","Focus"
227267,75,61,"brown","Green","Male","1331F0","Ford","Escort"
234773,37,52,"brown","Black","Female","M5T607","Ford","E250"
237209,83,53,"brown","Black","Female","ZJ6N1L","Ford","Taurus"
240310,82,66,"brown","Black","Male","2RVY07","Ford","Ranger"
252575,60,78,"brown","Grey","Male","B4124Z","Ford","Escort ZX2"
252983,61,61,"brown","Blonde","Female","52BQSW","Ford","Mustang"
258814,80,56,"brown","Grey","Female","C556FA","Ford","F-Series"
267134,22,50,"brown","Grey","Male","H263X6","Ford","Taurus"
270967,77,70,"brown","Brown","Female","8667S1","Ford","Escape"
274574,54,56,"brown","White","Female","OUN883","Ford","E150"
289453,23,75,"brown","Blonde","Female","W42L3O","Ford","Crown Victoria"
291569,77,63,"brown","Blue","Female","UW546A","Ford","Mustang"
294074,22,74,"brown","Grey","Female","20FM78","Ford","Focus"
306845,23,73,"brown","White","Male","2RPZ04","Ford","Focus"
312707,47,50,"brown","White","Female","0548R4","Ford","E350"
318740,69,52,"brown","Black","Male","28GNM1","Ford","Taurus X"
318858,72,65,"brown","Blonde","Male","M4P44L","Ford","Crown Victoria"
324720,64,74,"brown","Black","Female","73436Q","Ford","Explorer Sport"
325685,48,58,"brown","Blonde","Male","FZY1IV","Ford","Explorer"
326057,50,76,"brown","Black","Male","YZP418","Ford","Fiesta"
336397,73,63,"brown","White","Male","8H1337","Ford","Edge"
345118,48,52,"brown","Blonde","Male","Q84Y7O","Ford","Explorer"
345217,60,82,"brown","Blonde","Female","38U016","Ford","E-Series"
351603,67,72,"brown","Grey","Male","H76AC3","Ford","F250"
352791,18,76,"brown","Grey","Female","Z67ZE0","Ford","Five Hundred"
362977,85,61,"brown","Green","Female","7YK8YI","Ford","Expedition EL"
363840,46,82,"brown","Blue","Male","8ZQ62K","Ford","Expedition"
364093,52,79,"brown","Blue","Female","58OJE4","Ford","Transit Connect"
369208,85,68,"brown","White","Female","Q158P4","Ford","Contour"
369748,39,53,"brown","Red","Female","J0V0M4","Ford","Mustang"
370019,59,65,"brown","Blonde","Female","FDZQD5","Ford","E350"
374487,65,78,"brown","Black","Male","6615Q8","Ford","GT"
385812,51,72,"brown","Green","Male","R7X7F8","Ford","F450"
390155,70,80,"brown","Green","Male","NEYFA1","Ford","Fiesta"
395980,35,74,"brown","Black","Male","N217XH","Ford","E-350 Super Duty"
398368,38,55,"brown","Blue","Male","M0G65B","Ford","Crown Victoria"
399132,75,61,"brown","Red","Male","3842VD","Ford","F450"
409769,45,50,"brown","Red","Female","O4SOPW","Ford","Flex"
