Id,Person_Id,Name,Membership_Start_Date,Membership_Status
"NL318",65076,"Everette Koepke","2017-09-26 00:00:00,000","Gold"
"0YJ24",80651,"Waneta Wellard","2017-12-06 00:00:00,000","Gold"
"5Y28Y",15218,"Millicent Yessios","2018-02-05 00:00:00,000","Gold"
"A5N3S",24541,"Mary Cameron","2017-05-01 00:00:00,000","Gold"
"R4J4S",13703,"Lien Yasin","2017-04-14 00:00:00,000","Gold"
"338FV",66842,"Susanne Dubicki","2017-07-19 00:00:00,000","Gold"
"0862D",62171,"Johana Dayer","2017-06-12 00:00:00,000","Gold"
"6071T",85645,"Bea Fadei","2018-02-23 00:00:00,000","Gold"
"82GA2",20716,"Roslyn Gonzaga","2017-08-09 00:00:00,000","Gold"
"12C5R",98098,"Samara Decarolis","2017-03-04 00:00:00,000","Gold"
"8AEAE",62617,"Phung Motts","2018-02-05 00:00:00,000","Gold"
"0CR33",62561,"Noe Elgart","2017-06-27 00:00:00,000","Gold"
"4JX11",32828,"Earnest Dambrose","2017-08-31 00:00:00,000","Gold"
"GHDP5",78264,"Heath Hosack","2017-12-18 00:00:00,000","Gold"
"D8FT1",14297,"Roslyn Ayer","2017-10-22 00:00:00,000","Gold"
"V5260",66908,"Luanne Bhan","2017-09-19 00:00:00,000","Gold"
"6K7I8",83198,"Audria Vosburgh","2018-03-09 00:00:00,000","Gold"
"2B01Y",47735,"Tania Kubesh","2017-04-17 00:00:00,000","Gold"
"7I67C",66010,"Simone Mcglinn","2017-08-02 00:00:00,000","Gold"
"ITWMV",25743,"Elna Reichelderfer","2017-01-23 00:00:00,000","Gold"
"44VO2",86834,"Aaron Larcher","2017-11-22 00:00:00,000","Gold"
"D2KY6",99602,"Joline Hollering","2017-02-20 00:00:00,000","Gold"
"GKZV7",30221,"Jude Fairbairn","2017-01-08 00:00:00,000","Gold"
"1RSYJ",62042,"Clement Gidley","2017-10-16 00:00:00,000","Gold"
"7BQKU",24145,"Valda Eacret","2017-12-07 00:00:00,000","Gold"
"O86WU",68360,"Alex Strohmeier","2017-07-30 00:00:00,000","Gold"
"8G0Z2",71282,"Marquis Stace","2018-04-04 00:00:00,000","Gold"
"I0UIP",49229,"Madge Bernice","2017-05-03 00:00:00,000","Gold"
"N36I5",83633,"Stuart Moitoza","2017-12-08 00:00:00,000","Gold"
"C84S4",80745,"Mervin Eacret","2018-01-08 00:00:00,000","Gold"
"71BOE",61721,"Maximo Oliver","2017-07-05 00:00:00,000","Gold"
"72H2C",49774,"Grant Stutheit","2018-01-21 00:00:00,000","Gold"
"FA4N5",70985,"September Cappelluti","2017-11-09 00:00:00,000","Gold"
"3718M",50049,"Carmine Rodell","2017-08-27 00:00:00,000","Gold"
"3F8N0",10319,"Tama Mazy","2017-10-21 00:00:00,000","Gold"
"0Y6DA",67667,"Araceli Roussin","2017-03-04 00:00:00,000","Gold"
"XTE42",55662,"Sarita Bartosh","2017-05-24 00:00:00,000","Gold"
"P876D",97206,"Elizebeth Torgersen","2018-03-23 00:00:00,000","Gold"
"F83PZ",16232,"Florencio Hodgman","2017-11-28 00:00:00,000","Gold"
"06V71",50993,"Travis Windly","2017-08-12 00:00:00,000","Gold"
"7YL50",82468,"Patricia Matskin","2018-03-04 00:00:00,000","Gold"
"66Z13",44386,"Reinaldo Rhead","2017-05-17 00:00:00,000","Gold"
"5VE7U",66910,"Jacqui Bonda","2017-10-10 00:00:00,000","Gold"
"3DC24",10833,"Queen Radigan","2018-03-20 00:00:00,000","Gold"
"6LSTG",83186,"Burton Grippe","2017-02-14 00:00:00,000","Gold"
"J5IO8",44080,"Amberly Somdah","2017-09-02 00:00:00,000","Gold"
"72B16",36182,"Tanner Faley","2017-08-25 00:00:00,000","Gold"
"5VK83",84412,"Olimpia Romanick","2017-09-21 00:00:00,000","Gold"
"X1IYH",35809,"Tu Lipkovitch","2017-06-08 00:00:00,000","Gold"
"V14R0",83737,"Hosea Kuzyk","2018-04-23 00:00:00,000","Gold"
"VHN8M",26473,"Travis Bressler","2017-05-16 00:00:00,000","Gold"
"0WG67",77090,"Delora Vais","2017-07-06 00:00:00,000","Gold"
"72244",10615,"Harold Fullmer","2017-07-21 00:00:00,000","Gold"
"TY21F",94528,"Terrance Helwig","2017-06-03 00:00:00,000","Gold"
"1YHL3",32045,"Greg Alwardt","2017-05-03 00:00:00,000","Gold"
"O5U57",82818,"Luana Kirstein","2017-08-11 00:00:00,000","Gold"
"R55GR",85724,"Marybeth Ulvan","2017-04-06 00:00:00,000","Gold"
"F3U8A",46617,"Vanna Castillanos","2017-11-05 00:00:00,000","Gold"
"NF4S2",15581,"Simon Weisenberg","2018-04-26 00:00:00,000","Gold"
"3BRSC",19948,"Taylor Skyes","2018-03-14 00:00:00,000","Gold"
"58636",62536,"Harvey Jennkie","2018-03-25 00:00:00,000","Gold"
"NB387",21200,"Molly Dolin","2018-02-06 00:00:00,000","Gold"
"GE5Q8",92736,"Carmen Dimick","2017-06-18 00:00:00,000","Gold"
"0T622",98782,"Sarina Overpeck","2017-11-09 00:00:00,000","Gold"
"BL3KC",24033,"Collene Gulde","2017-09-13 00:00:00,000","Gold"
"48Z7A",28819,"Joe Germuska","2016-03-05 00:00:00,000","Gold"
"48Z55",67318,"Jeremy Bowers","2016-01-01 00:00:00,000","Gold"
"90081",16371,"Annabel Miller","2016-02-08 00:00:00,000","Gold"
"AOE21",39426,"Noe Locascio","2017-10-05 00:00:00,000","Regular"
"2PN28",63823,"Jeromy Heitschmidt","2018-02-15 00:00:00,000","Silver"
"3A08L",32858,"Mei Bianchin","2017-04-01 00:00:00,000","Silver"
"6W6I2",69510,"Paris Accurso","2017-06-13 00:00:00,000","Regular"
"156A7",79701,"Marcelino Leard","2018-04-28 00:00:00,000","Silver"
"X0643",15247,"Shondra Ledlow","2017-05-21 00:00:00,000","Silver"
"8T75D",86040,"Shani Mcclard","2017-04-30 00:00:00,000","Silver"
"R440Q",37694,"Jan Louthan","2017-06-06 00:00:00,000","Silver"
"K055L",60785,"Latisha Larzazs","2017-05-03 00:00:00,000","Regular"
"401Y4",80191,"Gary Hanohano","2017-06-27 00:00:00,000","Regular"
"DEQP8",19108,"Dwight Roussel","2018-01-08 00:00:00,000","Regular"
"N7F6U",52425,"Nick Delage","2017-07-09 00:00:00,000","Silver"
"Z7Y82",31477,"Rigoberto Hartgrave","2017-08-17 00:00:00,000","Silver"
"THJ81",12344,"Thaddeus Modin","2017-06-16 00:00:00,000","Regular"
"51SWX",92075,"Keshia Llanet","2017-08-12 00:00:00,000","Regular"
"4TZ45",61663,"Bebe Heilmann","2018-04-17 00:00:00,000","Silver"
"5Y85X",45746,"Frederic Borsellino","2017-08-03 00:00:00,000","Regular"
"2Q45D",47693,"Owen Caston","2017-01-02 00:00:00,000","Silver"
"E43E8",96742,"Christian Hogue","2017-10-14 00:00:00,000","Silver"
"TXNSC",18044,"Roberto Slot","2017-05-10 00:00:00,000","Silver"
"1G2F7",90543,"Roger Bowling","2017-05-11 00:00:00,000","Silver"
